City,Point of Interest,Review,Adventure & Outdoors,Spiritual,Nature & Retreat,Isolated or Hippie,Heritage,Travel & Learn,Social Tourism (Volunteer & Travel),Nightlife & Events,Shopping,Compound score
Agra,Agra Fort,visit agra fort last week red fort delhi like fort structur,0,0,1,0,1,0,0,0,0,0.6806
Agra,Agra Fort,agra fort simpli enorm third open public remaind still use armi trip citi real jewel rather old dirti citi wander around fort guid must want get visit architectur fabul great view taj,0,0,1,0,1,0,0,0,0,0.89225
Agra,Agra Fort,agra fort impress structur good condit consid age histori especi compar jhansi fort,0,0,1,0,1,0,0,0,0,0.85015
Rishikesh,Lakshman Jhula,strateg place bridg,0,0,1,0,0,0,0,0,0,0.5
Agra,Agra Fort,realli amaz much detail trip red fort delhi see make sure view river taj mahal amaz,0,0,1,0,1,0,0,0,0,0.6591
Mussoorie,Kempty Falls,multipl time alway get mesmer beauti nice maintain must visit mussouri,0,0,1,0,1,0,0,0,0,0.71075
Agra,Tomb of Itimad-ud-Daulah,less crowd enjoy much good privaci factor unlik taj mahal get crowd time,0,0,1,0,1,0,0,0,0,0.8512
Pushkar,Brahma Temple,bewar cheater surround templ nice peopl want show around talk bit templ end ask ridicul amount money,0,1,1,0,1,0,0,0,0,0.44865
Mussoorie,Lal Tibba,narrow road steep climb find good climat hors ride worth plan drive dont commit mistak self drive suv road narrow car pass climb steep advis small petrol car good power traffic polic man traffic complet chao avoid case hire local taxi rip hard earn money choic,0,0,1,0,0,0,0,0,0,0.74795
Rishikesh,Lakshman Jhula,tourist activ near bridg otherwis noth spend time bridg,0,0,1,0,1,0,0,0,0,0.5
Agra,Agra Fort,enjoy visit local oat guid share mani detail histor fort would recommend histori buff,0,0,1,0,1,0,0,0,0,0.89225
Rishikesh,Triveni Ghat,peac experi uniqu year start experi actual strengthen faith bond giver god receiv me,0,1,1,0,1,0,0,0,0,0.91125
Agra,Agra Fort,beauti fort view taj mahal mayb slight underwhelm compar place amber fort jaipur cours still wonder behold take time guid offer bit insight particular fort,0,0,1,0,1,0,0,0,0,0.5
Pushkar,Pushkar Lake,belief ash disburs lake receiv immedi salvat,0,1,1,0,1,0,0,0,0,0.5
Agra,Agra Fort,imagin monument showcas person ruler outlin histor moment tell stori beyond belief that agra fort hold breath close eye let imagin run wild,0,0,1,0,1,0,0,0,0,0.5
Pushkar,Brahma Temple,interest learn histori cultur visit templ worthwhil visit pushkar,0,1,1,0,1,0,0,0,0,0.7294
Agra,Wildlife SOS,learn experi come see bear although concern way staff conduct tour seem like parad around premis without much order watch inform video redund sinc explain begin tour provid good servic bear glad went,0,0,1,0,1,0,0,0,0,0.9063
Agra,Agra Fort,realli great fort see enjoy time get insight peopl built taj mahal see fort hour well worth visit great view taj,0,0,1,0,1,0,0,0,0,0.96855
Rishikesh,Triveni Ghat,great feel attend ganga aarti world experi bhajan perform aarti real great experi arrang good,0,1,0,0,1,0,0,0,0,0.9511000000000001
Agra,Agra Fort,obvious agra must go taj enjoy although extrem crowd would tri go sunris taj open sunris sunset,0,0,1,0,1,0,0,0,0,0.74695
Rishikesh,Ram Jhula,view top bridg nice mountain background blue water flow bridg sway littl henc name jhula mean swing,0,0,1,0,0,0,0,0,0,0.7787
Mussoorie,Camel's Back Road,quiet parallel rroad mall road think histor mall road made british camel back road indian,1,0,1,0,0,0,0,0,1,0.5
Agra,Agra Fort,didnt see red fort delhi tell agra fort sure dynasti busi local tourist quit bit walk clear day see taj couldnt solut day great see taj better understand architectur element tour guid bikram india heritag privat tour amaz point detail would miss see differ architectur style thorough fort differ ruler worth it,0,0,1,0,1,0,0,0,0,0.79335
Agra,Agra Fort,nice fort agra multipl balconi fort compris mani histor memori king special mirror room ceil room mirror nice fort must see agra fort compris prison area shahjahan imprison son dont forget get inform histori visit place,0,0,1,0,1,0,0,0,0,0.8437
Mussoorie,Kempty Falls,awesom place visit must go site mussoori ropeway facil afford price even safe children well enjoy lot,0,0,1,0,0,0,0,0,0,0.901
Rishikesh,Lakshman Jhula,view ganga river nice feel vibrat step jhula river raft mani monkey feel afraid enjoy lot,0,0,1,0,0,0,0,0,0,0.8592
Agra,Agra Fort,anyon visit taj mahal go agra fort sad stori taj complet shah jahan jail cell agra fort big complex pretti formal garden border red sandston stun architectur great detail,0,0,1,0,1,0,0,0,0,0.625
Agra,Kalakriti Cultural & Convention Center,sold storytel taj mahal histori live actor let tell ive got,0,0,1,0,1,0,0,0,0,0.5
Rishikesh,The Beatles Ashram,quit what everyon expect place run unkept spend minut visit place give miss would miss much,0,1,1,0,0,0,0,0,0,0.352
Pushkar,Pushkar Lake,pushkar lake beauti area sunset goe lot see realli beauti experi,1,1,1,0,1,0,0,0,0,0.5
Agra,Dayal Bagh,tuck away frequent visit dayal bagh offer visitor live construct monument said construct hundr year marbl carv motif interest central dome,0,0,1,0,1,0,0,0,0,0.7294
Agra,Tomb of Itimad-ud-Daulah,love littl comparison gem easili visit combin metab bagh beauti situat along river,0,0,0,0,1,0,0,0,0,0.81845
Agra,Agra Fort,visit taj mahal didnt find anyth special comparison mayb knew found interest guid help didnt engag interest much taj earlier day good way pass time wait train though wouldnt recommend wait agra fort station long dirti smelli full fli,0,0,1,0,1,0,0,0,0,0.90185
Mussoorie,Lal Tibba,amaz spot landour complet coffe shop snack place give overal view mussori,0,0,1,0,0,0,0,0,0,0.5
Agra,Tomb of Itimad-ud-Daulah,husband enjoy area visit tal mahal exquisit detail huge crowd,0,0,1,0,1,0,0,0,0,0.83525
Agra,Mehtab Bagh,realli much garden crowd nice view taj mahal river pollut terribl view hazi still probabl worth small admiss fee abl see peopl way,0,0,1,0,1,0,0,0,0,0.7859499999999999
Mussoorie,Camel's Back Road,cover rickshaw start librari take camel back road almost back green hotel mall,1,0,1,0,0,0,0,0,1,0.5
Mussoorie,Camel's Back Road,quiet invigor minut morn walk good view place sit rest almost level walk space,0,0,1,0,1,0,0,0,0,0.7202
Rishikesh,Ram Jhula,excit cross suspens bridg ganga approach jhula crowd expect peopl lot peopl shop wheeler unexpect wheeler use suspens bridg crossov side honk non stop seren clam shred piec raucous nois govern ban them,0,0,1,0,1,0,0,0,0,0.14984999999999998
Agra,Jawab Masjid,addit treat seen insid secur area love glad visit awar step,0,1,0,0,1,0,0,0,0,0.9359999999999999
Agra,Agra Fort,sure hire guid take huge fort much see histori fascin actual prefer taj mahal,0,0,1,0,1,0,0,0,0,0.7787
Agra,Agra Fort,anoth magnific build steep histori centuri old wonder tour manag thank vjv brought place aliv us,0,0,1,0,1,0,0,0,0,0.85015
Agra,Tomb of Itimad-ud-Daulah,could possibl tomb enchant itimad ud daulah pull architectur tomb mesmer remind grandeur mughal era via architectur inscript beauti engrav floweri pattern carv unspeak tomb made white marbl color peac feel peac calm around even though quit crowd see tomb here,0,0,0,0,1,0,0,0,0,0.8453999999999999
Agra,Tomb of Itimad-ud-Daulah,went first visit taj mahal refer babi taj knew look like taj marbl mausoleum inspir build taj mahal hidden gem stand alon beauti architectur carv marbl incred wonder look ponder,0,0,0,0,1,0,0,0,0,0.6806
Agra,Agra Fort,worthi watch site fort view taj mahal meena bazar grape design wall craft,0,0,1,0,1,0,0,0,0,0.5
Agra,Agra Fort,realli great fort see enjoy time get insight peopl built taj mahal see fort hour well worth visit great view taj,0,0,1,0,1,0,0,0,0,0.96855
Agra,Agra Fort,red fort pretti pretti place built red sandston white marbl big quit complex realli fun visit,0,0,1,0,1,0,0,0,0,0.7553000000000001
Agra,Anguri Bagh,see splendid space agra fort view side excel miss see place,0,0,1,0,1,0,0,0,0,0.86755
Mussoorie,Camel's Back Road,morn walk road fresh air could felt scenic beauti great away citi hustl bustl must go here,0,0,1,0,0,0,0,0,0,0.8753
Agra,Agra Fort,realli great fort see enjoy time get insight peopl built taj mahal see fort hour well worth visit great view taj,0,0,1,0,1,0,0,0,0,0.96855
Rishikesh,Laxman Jhula Bridge,laxman jhula realli inspir holi bridg built rope might earli rope bridg india first generat rope bridg long ram jhula rope bridg,0,0,1,0,0,0,0,0,0,0.5
Mussoorie,Kempty Falls,fall good commerci around enjoy view rope way small dont wast money mani eat shop option around,1,0,1,0,0,0,0,0,0,0.86345
Agra,Agra Fort,your agra visit taj mahal chanc come well advic therefor would engag servic local guid paid knowledg chap took us around fort taj mahal sure expens found worth everi penni,0,0,1,0,1,0,0,0,0,0.8243
Agra,Tomb of Itimad-ud-Daulah,impress architectur design simmetri artwork must see agra great concurr taj mahal,0,0,1,0,1,0,0,0,0,0.8953
Mussoorie,Kempty Falls,water fall around km mussori along wind road heard lot fall visit time monsoon expect decent water fall water fall hard worth visit place crowd tourist abl see much waterfal road road go cement stair small artifici pool water dip feet place chang room better avoid swim though danger mani eateri along road eat land feel hungri otherwis mussori better option ropeway locat downslop get better view fall take valley small pool hard worth visit place comercialis hapazard way result loss beauti natur fall seen waterfal sikkim huge disappoint,1,0,1,0,0,0,0,0,0,0.67
Pushkar,Brahma Temple,brahma templ situat close sacr pushkar lake major attract pushkr must visit place pushkar,0,1,1,0,1,0,0,0,0,0.6806
Agra,Agra Fort,close taj mahal known red fort agra prepar walk lot would help find good guid help histor background,0,0,1,0,1,0,0,0,0,0.9037
Rishikesh,Lakshman Jhula,noth great visit fine bridg built hang wheeller pli see quit monkey bridg,0,0,1,0,1,0,0,0,0,0.8548
Pushkar,Pushkar Lake,agress tout holi men want money get small citi like pushkar sourc real incom tourist realli realli aggress ruin experi even local like local mean indian,0,1,1,0,1,0,0,0,0,0.3409
Pushkar,Pushkar Lake,finest holi lake well maintain go round lake enchant aarti brahma sarovar happen daili morn even time sunset,1,1,1,0,1,0,0,0,0,0.6366
Rishikesh,Lakshman Jhula,well intend review whole journey fine sight worth visitng find everyth need visit rishikesh near laxman jhula go river raft campl make friend look star night place amaz wnt find anyth better,0,0,1,0,1,0,0,0,0,0.9359999999999999
Mussoorie,Kempty Falls,well skip place seen water fall earlier man made pond waterfal ppl bath small unclean feel like step good singl photograph noth water amus park citi better,1,0,1,0,0,0,0,0,0,0.9277500000000001
Agra,Anguri Bagh,visit fort look wonder maintain lawn special anguri bagh intric geometr pattern,0,0,1,0,1,0,0,0,0,0.70095
Agra,Mehtab Bagh,titl pretti much say ive coupl time garden arent impress view river right condit best place see color taj sunset nice place chat folk world watch show,0,0,1,0,1,0,0,0,0,0.8401000000000001
Rishikesh,Lakshman Jhula,bridg overcrowd day went earli morn crowd less nice exp,0,0,1,0,1,0,0,0,0,0.6813
Pushkar,Pushkar Lake,place nice want walk pooja worship god medit like much stop close lake think life good place get peac get cool mind bad thing indian offer flower tourist want rupi actual cheat mani kid ask money dont need money parent tell beg money know fianc indian told mani thing bad thing happen careful visit dont follow anyon dont let anyon follow cheat smart twice would lik visit sure next lake there mani restaur comerc nice,0,1,1,0,1,0,0,0,0,0.8825000000000001
Agra,Mehtab Bagh,garden date back sever centuri moghul era built moghul ruler close beauti view taj mahal vast greeneri look love histor structur seen ruin access garden narrow street park big problem particular peak tourist day mainten garden need focus,0,0,1,0,1,0,0,0,0,0.3409
Rishikesh,Laxman Jhula Bridge,construct british era consid built year back certain wonder piec engin still use local wheeler pedestrian traffic clean water ganga land religi import tapovan back ground make special visit templ shri laxman ji vijay raghav mandir etc,0,0,1,0,1,0,0,0,0,0.87895
Agra,Agra Fort,would advis take guid worth work around understand histori take water dont sell insid,0,0,1,0,1,0,0,0,0,0.61315
Agra,Tomb of Itimad-ud-Daulah,babi best place agra agra taj mahal recommend visit copi taj mahal,0,0,1,0,1,0,0,0,0,0.88585
Agra,Agra Fort,beauti place see real architectur piec mughal era undoubt see agra fort onli,0,0,1,0,1,0,0,0,0,0.5
Agra,Agra Fort,time get far view taj mahal visit taj,0,0,1,0,1,0,0,0,0,0.5
Agra,Agra Fort,impress fort must see golden triangl spend hour,0,0,1,0,1,0,0,0,0,0.7202
Rishikesh,The Beatles Ashram,walk around quit interest see maharishi hous move holland beehiv type medit build littl hous medit cellar dillapad though charg wander round shame realli beauti posit,0,1,1,0,1,0,0,0,0,0.4871
Pushkar,Brahma Temple,alway enjoy pushkar bevor chang lot peopl right side close step shout indien friend us without reason tri deni entranc interest make money care shoe care insid templ shame pushkar honest brahman live there,0,1,1,0,1,0,0,0,0,0.9716
Mussoorie,Kempty Falls,got difficult get due season rout mussoori kempti scenic awesom crown mussoori,0,0,1,0,0,0,0,0,0,0.3194
Pushkar,Brahma Temple,place bit crowd quit forgett full shop owner ask keep shoe buy prasad shop,0,0,1,0,1,0,0,0,0,0.5
Agra,Agra Fort,cannot say seen taj mahal view seen red fort memori fort wonder stori like monument india absolut must visit part beauti huge countri,0,0,1,0,1,0,0,0,0,0.79295
Agra,Tomb of Itimad-ud-Daulah,tomb father nur jahan wife jahangir mother shahjahan right call babi taj total beati structur must visit agra near mehtab bagh strong suggest visit afternoon see sunset mehtab bagh,0,0,0,0,1,0,0,0,0,0.7553000000000001
Agra,Wildlife SOS,visit eleph wildlif sos agra honest best time amaz place visit eleph well look educ offic full help inform nice see anim happi natur environ feed wash eleph day well never forget,0,0,1,0,0,0,1,0,0,0.9753000000000001
Rishikesh,Lakshman Jhula,place best view even sunset steel bridg masterpiec landmark rishikesh,0,0,1,0,1,0,0,0,0,0.83525
Pushkar,Brahma Temple,brahma templ suppos templ world disappoint reach templ dirti coupl disinterest priest sit cours offer dakshina accompani pandit guid receiv warm welcom,0,1,1,0,1,0,0,0,0,0.41105
Agra,Agra Fort,truli impress build much histori guid took us around told us import detail,0,0,1,0,1,0,0,0,0,0.7202
Rishikesh,Triveni Ghat,got chanc attend ganga aarti even sunset pandit aarthi thal readi aarti ganga river crowd includ feel peac insid heart,0,1,0,0,1,0,0,0,0,0.5
Agra,Anguri Bagh,larg rectangular court front khas mahal garden laid char bagh pattern small hexagon grid red sandston akbar built son salim futur emperor jehangir grape grown garden produc wine jehangir fond well defin water channel place grow grape mughal went length get done area agra suitabl grwing grape,0,0,1,0,1,0,0,0,0,0.8062
Mussoorie,Dehradun Zoo,lot varieti bird get good inform,0,0,1,0,1,0,0,0,0,0.7202
Agra,Agra Fort,necessari pay admiss fort see enter instead guid took us around outsid tour pretti go earli day unbear hot,0,0,1,0,1,0,0,0,0,0.44865
Agra,Agra Fort,good govern block portion armi enter it,0,0,1,0,1,0,0,0,0,0.5
Agra,Agra Fort,good ford like much seen mani ford agra ford nice bear stori good shahajan last stori sad,0,0,1,0,1,0,0,0,0,0.8953
Agra,Agra Fort,necessari pay admiss fort see enter instead guid took us around outsid tour pretti go earli day unbear hot,0,0,1,0,1,0,0,0,0,0.44865
Agra,Tomb of Itimad-ud-Daulah,far taj mahal river red fort babi taj seren beauti build yes taj mahal impress mind much better miss build hvnt seen india,0,0,0,0,1,0,0,0,0,0.89225
Agra,Agra Fort,husband visit whilst stay agra impress big agra fort actual architectur amaz attent detail sandston build work awe inspir would definit recommend guid gave us histor knowledg differ quarter build area would use for,0,0,1,0,1,0,0,0,0,0.82985
Mussoorie,Lal Tibba,go place natur lover want relax look mountain peak quiet peac walk,0,0,1,0,0,0,0,0,0,0.8953
Agra,Agra Fort,felt walk histori walk around agra fort think better red fort tri employ human guid agra fort experi great could understand much better general could ask question get immedi respons dont understand,0,0,1,0,1,0,0,0,0,0.9359999999999999
Mussoorie,Kempty Falls,heard lot place amus much walk lot go place small waterfal come pool like area water assembl peopl take shower interest place,1,0,1,0,0,0,0,0,0,0.83525
Agra,Tomb of Itimad-ud-Daulah,typic small indian templ well kept ground load monkey photo opportun spectacular want visit anoth place agra van head here,0,0,1,0,1,0,0,0,0,0.67
Agra,Wildlife SOS,love place person work bear realli nice work hard protest road side bear hatsoff,0,0,1,0,0,0,0,0,0,0.8404
Agra,Agra Fort,like fort plus point view wonder world tajmah,0,0,1,0,1,0,0,0,0,0.6806
Rishikesh,Ram Jhula,bridg quit busi dont wanna get bump honk touch dont bother,0,0,1,0,1,0,0,0,0,0.6292
Agra,Tomb of Itimad-ud-Daulah,nice build bank yamuna river call mini taj build marbel beauti,0,0,0,0,1,0,0,0,0,0.71075
Pushkar,Brahma Temple,pushkar raj place world brahma templ histori nice long wish could share nice holi templ,0,1,1,0,1,0,0,0,0,0.92955
Pushkar,Pushkar Camel Fair,central locat lake would need take cab camel get there,1,0,1,0,0,0,0,0,0,0.5
Agra,Agra Fort,near end visit agra fort saw taj mahal yamuna river heard sad stori shah jahan taj built wife imprison son aurangzeb agra fort last year life cant bad shah jahan fort built white marbl like taj even innermost portion fort quit lavish gorgeous entranc fortif built red sandston use often build part india give indic insid beauti,0,0,1,0,1,0,0,0,0,0.86955
Agra,Diwan-i-Am Agra Fort,sever beauti structur agra fort harmoni architectur mani fine detail admir,0,0,0,0,1,0,0,0,0,0.60115
Agra,Agra Fort,beauti place huge area see,0,0,1,0,1,0,0,0,0,0.6591
Rishikesh,Lakshman Jhula,busi narrow river cross mani young men ride motorcycl crowd wonder go,0,0,1,0,1,0,0,0,0,0.5
Rishikesh,Kunjapuri Devi Temple,despit titl review interest vantag point see snowcap himalaya mountain road templ despic condit consid tourist want visit templ go later day cannot comment sunris spectular garbag general disrespect environ sacr spiritu site usual appal asid spectacular view countrysid recommend site,0,1,1,0,1,0,0,0,0,0.7294
Mussoorie,Kempty Falls,though seen niagara fall us canadian side kempti fall love enjoy fall pure cold water exhilar hundr peopl come even though mid novemb quit cold brave temperatur jump pool form fall hundr like us took pic near fall simpli beauti,1,0,1,0,0,0,0,0,0,0.96155
Agra,Agra Fort,first visit taj mahal went agra fort anoth gem experi us took guid agra fort without felt use watch without know everyth built insid agra fort guid got agra fort realli great although charg slight high elabor histori agra fort pretti well architectur agra fort realli fascin would advis everyon plan complet day visit agra visit taj mahal agra fort worth watch everyon atleast lifetim,0,0,1,0,1,0,0,0,0,0.8982
Rishikesh,Neer Garh Waterfall,went friend could expect place go much good waterfal nd pool around enjoy lot must recommend travel go n fun,1,0,1,0,0,0,0,0,0,0.96685
Agra,Agra Fort,nice histor place see india see histor monument agra fort best sight seen fort view tajmah tahmah look beauti,0,0,1,0,1,0,0,0,0,0.8953
Agra,Sheesh Mahal,palac insid fort cover mirror glass old still look fantast condit done clean mirror everyth sparkl lot photo opportun,0,0,0,0,1,0,0,0,0,0.70095
Agra,Agra Fort,view taj place peopl throng heavi number everyday nd popular destin taj agra kilometr away taj mahal cannot see whole fort hrs huge take lot time beauti garden insid,0,0,1,0,1,0,0,0,0,0.82985
Agra,Tomb of Itimad-ud-Daulah,nice build bank yamuna river call mini taj build marbel beauti,0,0,0,0,1,0,0,0,0,0.71075
Agra,Agra Fort,outsid look small bore start walk courtyard like kind tardi must courtyard behind guid knowledg made tour interest would high recommend visit here,0,0,1,0,1,0,0,0,0,0.9277500000000001
Pushkar,Pushkar Lake,expect solitud wanna experi place place great trust earli hour morn,0,0,1,0,1,0,0,0,0,0.9063
Rishikesh,Neer Garh Waterfall,good hike form town nice view way small entranc fee bring id want see passport someth take natur walk day nice quiet mani visitor road construct reinforc work go trail interf enjoy fall nice cold water feel good put feet sit minut,0,0,1,0,0,0,0,0,0,0.97465
Agra,Agra Fort,take electron guid intellig choic stonework wall floor stori shah jahan fascin,0,0,1,0,1,0,0,0,0,0.5
Agra,Agra Fort,agra fort great place look around view taj mahal great fascin place,0,0,1,0,1,0,0,0,0,0.92405
Rishikesh,Lakshman Jhula,offer good view ganga river bridg access wheeler caus lot congest visit lakshman templ near lakshman jhula visit ram jhula walk min reach lakshman jhula mani peopl book river raft near lakshman jhula go raft didnt enough time charg rs per person river raft near lakshman jhula lot agent care choos,0,0,1,0,0,0,0,0,0,0.86755
Agra,Agra Fort,actual prefer fort taj mahal worth time there much see learn beauti place garden balconi great stone marbl art even lot anim bird monkey there lot great histori associ place make sure get good guid,0,0,1,0,1,0,0,0,0,0.968
Agra,Jawab Masjid,jawab masjid isnt beauti attract separ locat insid taj mahal garden basic mosqu lot peopl still visit worship say prayer,0,1,0,0,1,0,0,0,0,0.5116
Mussoorie,Kempty Falls,terribl tourist infect much ado noth,0,0,1,0,1,0,0,0,0,0.5
Rishikesh,Triveni Ghat,time keep go back peac seren fake priest beggar constant harras you,0,1,1,0,1,0,0,0,0,0.26165
Mussoorie,Lal Tibba,lal tibba math highest point mussoori access landour side citi,0,0,1,0,0,0,0,0,0,0.5
Agra,Tomb of Itimad-ud-Daulah,place known babi taj,0,0,0,0,1,0,0,0,0,0.5
Agra,Tomb of Itimad-ud-Daulah,refer babi taj peac stun place visit would recommend visit whilst agra,0,0,0,0,1,0,0,0,0,0.6806
Rishikesh,Kunjapuri Devi Temple,kunjapuri symbol parvati love shiva sacr spiritu place slight trek view beauti come back feel bless rejuven would recommend walk go bike,0,0,1,0,1,0,0,0,0,0.92955
Agra,Sheesh Mahal,feast eye well worth visit stun place,0,0,0,0,1,0,0,0,0,0.7294
Agra,Agra Fort,someth get enjoy learn histori fort huge mani tourist agra time year,0,0,1,0,1,0,0,0,0,0.83525
Agra,Agra Fort,agra fort icon set palac set fortress rd fort palac open public part occupi arm forc,0,0,1,0,1,0,0,0,0,0.5
Mussoorie,Camel's Back Road,made slow car ride km stretch camel back road stoppag special hawa mahal maggi tea best experi mussoori need hrs min even nice view mussoori hill sunset end last back mall road must visit place natur lover,1,0,1,0,0,0,0,0,1,0.9630000000000001
Agra,Diwan-i-Am Agra Fort,fabul place visit much see build stun well worth visit get great pictur,0,0,1,0,1,0,0,0,0,0.8982
Rishikesh,Triveni Ghat,spiritu experi attend arti triveni ghat rishikesh travel famili friend group everyon includ children enjoy experi,0,1,0,0,1,0,0,0,0,0.8753
Rishikesh,Ram Jhula,sit ghat enjoy breez look water flow swift chill feel sens seren automat descend wonder feel take boat ride river walk mahesh yogi ashram beatl stay week that quit experi,0,0,1,0,1,0,0,0,0,0.8062
Agra,Chini Ka Rauza Mausoleum,mausoleum situat bank river yamuna made memori persian poet afzal khan aalmi mausoleum exhibit perfect blend indo persian architectur first build construct use glaze tile differ shade tile like yellow green aquamarin orang attract featur monument interior part tomb decor paint flower,0,0,0,0,1,0,0,0,0,0.91355
Agra,Agra Fort,similar red fort noth much explor architectur beauti histori written corner view taj nice well maintain better arrang facil made,0,0,1,0,1,0,0,0,0,0.88915
